ID,Type,SKU,Name
11082,simple,WF-2805,WestPoint WF-2805 1750ml Kitchen Chef
11085,simple,WF-9901,WestPoint WF-9901 400 Watts Deluxe Hand Mixer
11088,simple,WF-4626,WestPoint WF-4626 5 Liters Stand Mixer
11091,simple,WF-2310RK,WestPoint WF-2310RK 1500 Watts Rotisserie Oven with Kebab Grill
11095,simple,WF-252,WestPoint WF-252 188 mm Professional Dual Hot Plate
11099,simple,WF-6514T,WestPoint WF-6514T 12 inch Roti Maker
11103,simple,WF-6093,WestPoint WF-6093 Sandwich Toaster 3 in 1
11107,simple,WF-6193,WestPoint WF-6193 Sandwich Toaster 3 in 1
11110,simple,WF-7110,WestPoint WF-7110 Deluxe 2x10W UV Tube Insect Killer
11113,simple,WF-1099,WestPoint WF-1099 Professional 800W 5L Stainless Steel Bowl Chopper
11120,simple,WF-498,WestPoint WF-498 Professional 800W Kitchen Robot Food Processor
11543,simple,WF-6809,WestPoint WF-6809 Professional Floating Ceramic Coating Plate Hair Straightener
11546,simple,WF-6913,WestPoint WF-6913 Professional Low Noise Type-C Hair Clipper
11550,simple,WF-6270,WestPoint WF-6270 Deluxe Overheat Protection Hair Dryer
11554,simple,WF-1834,WestPoint WF-1834 Deluxe 4 in 1 750W 1.0L Food Processor
11559,simple,WF-4258,WestPoint WF-4258 Deluxe Dual Basket 9L 2200W Air Fryer
11563,simple,WF-5258,WestPoint WF-5258 22 Liters Professional Power Air Fryer Oven
11567,simple,WF-578,WestPoint Cordless Kettle WF-578
11571,simple,WF-2451,WestPoint WF-2451 1200 Watts Dry Iron
11574,simple,WF-342,WestPoint WF-342 1.5 Liters Deluxe Blender and Grinder
11578,simple,WF-2025,WestPoint WF-2025 1.2 Liters Professional Coffee Maker
11582,simple,WF-4800RKC,WestPoint WF-4800RKC 2200 Watts Convection Rotisserie Oven with Kebab Grill
11585,simple,WF-6293,WestPoint WF-6293 Sandwich Toaster 3 in 1
11592,simple,WF-960,WestPoint WF-960 Deluxe 25L Drum Steel Shell Vacuum Cleaner
11603,simple,WF-6280,WestPoint WF-6280 Professional 2200W Heavy Duty Hair Dryer
11608,simple,WF-1155,WestPoint WF-1155 Deluxe Adjustable Supporting Tubes Garment Steamer
11612,simple,WF-1154,WestPoint WF-1154 Deluxe Adjustable Supporting Tubes Garment Steamer
11616,simple,WF-5160,WestPoint WF-5160 Deluxe 500W Stainless Steel Filter Juicer
11620,simple,WF-1186,WestPoint WF-1186 Deluxe 750W Stainless Steel Spinner Juicer
11624,simple,WF-5254,WestPoint WF-5254 6 Liters Air Fryer
11629,simple,WF-6178C,WestPoint WF-6178C 4.2 Liters Deluxe Cordless Electric Kettle
11633,simple,WF-7005,WestPoint WF-7005 250 kg Bath Scale
11637,simple,WF-9914,WestPoint WF-9914 700ml Hand Blender
11640,simple,WF-2610RK,WestPoint WF-2610RK 1500 Watts Deluxe Convection Rotisserie Oven with Kebab Grill
11644,simple,WF-691,WestPoint WF-691 Sandwich Maker
11651,simple,WF-1098,WestPoint WF-1098 Professional 600W Food Processor Chopper
11656,simple,WF-3050,WestPoint WF-3050 Deluxe Meat Grinder With Vegetable Cutter
11660,simple,WF-442,WestPoint WF-442 Deluxe 4 in 1 Kitchen Chef Food Processor
11664,simple,WF-231,WestPoint WF-231 Deluxe Magic Broom Handheld Vacuum Cleaner
11678,simple,WF-841DG,WestPoint WF-841DG Deluxe Digital Microwave Oven With Grill
11681,simple,WF-5307,WestPoint WF-5307 Deluxe 1000W Electric Sun Heater
11693,simple,WF-2532,WestPoint WF-2532 Professional 2 Slice 860W Pop Up Toaster
11726,simple,WF-6259,WestPoint WF-6259 Deluxe Overheat Protection Hair Dryer
11736,simple,WF-343,WestPoint WF-343 1.5 Liters Deluxe Blender and Grinder
11740,simple,WF-8817,WestPoint WF-8817 3.5 Liters Food Processor RoboMax
11752,simple,WP-6320,WestPoint WP-6320 Professional 20 Liter Commercial Electric Kettle
11760,simple,WF-7115,WestPoint WF-7115 20 W Deluxe Insect Killer
11764,simple,WF-103,WestPoint WF-103 Deluxe 21L Drum Steel Shell Vacuum Cleaner
11768,simple,WF-6260,WestPoint WF-6260 Deluxe 1600W Foldable Hair Dryer
11890,simple,WF-7201GL,WestPoint WF-7201GL Deluxe 500W Glass Jar Juicer Blender
11893,simple,WF-5257,WestPoint WF-5257 Deluxe 6.5L 1700W LCD Display Air Fryer
11917,simple,WF-90B,WestPoint WF-90B 1000 Watts Dry Iron
12425,simple,dwt-255-c,Dawlance 8Kg Top Load DW-255 C Fully Automatic Washing Machine
12441,simple,dtm-7650,Dawlance DTM-7650 Inverter Refrigerator
12839,simple,Frost-X-20,Dawlance 1.25 TON Frost X 20 Cool only Inverter Air Conditioner
12846,simple,MD15,Dawlance MWO DW-MD 15 SOLO WHITE Heating Microwave Oven
12854,simple,Everest-12G,Orient 1 Ton Everest -12G Split Air Conditioner
12860,simple,Frost-30,Dawlance 1.5 Ton Frost 30 DC Inverter Cool Only Split Air Conditioner
12866,simple,HWM 120-35FF,Haier 12Kg HWM-120-35FF Single Tub Washing Machine
12874,simple,OWD-529,Orient Water Dispencer OWD-529 Icon
12877,simple,9101 SD,Dawlance 9101 SD Mini Refrigerator
12889,simple,REF-9140WB,Dawlance REF-9140WB 8 Cu Ft Grey Double Door Refrigerator
12896,simple,hwm-130-1217,"Haier HWM 130-1217 12kg Top Load Washing Machine – Manual Control Washer | Big Capacity, Strong Performance, Home Use"
12902,simple,wd531,Orient OWD-531 3 Taps Water Dispenser
12925,simple,GEH-720AI,Super Asia GEH-720AI Auto Ignition Gas Geyser – Heavy Gauge 20 Gallons | Super Asia Geyser | Gas Geyser | Geyser
12928,simple,GEH-725AI,Super Asia GEH-725AI Auto Ignition Gas Geyser – 25 Gallons Capacity | Super Asia Geyser | Gas Geyser | Geyser
12965,simple,GEH-730AI,Super Asia GEH-730AI Auto Ignition Gas Geyser – Heavy Gauge | 30 Gallons Capacity | Super Asia Geyser | Gas Geyser | Geyser
12968,simple,GEH-735AI,Super Asia GEH-735AI Auto Ignition Gas Geyser – Heavy Gauge | 35 Gallons Capacity | Super Asia Geyser | Gas Geyser | Geyser
12977,simple,GEH-755AI,Super Asia GEH-755AI Auto Ignition Gas Geyser – Heavy Gauge | 55 Gallons Capacity | Super Asia Geyser | Gas Geyser | Geyser
12980,simple,EH-630,Super Asia EH-630 Electric Water Heater – 37 Liters | 2000W Fast Heating & Rust-Proof Body | Energy Efficient Water Heater | Electric Geyser
12983,simple,EH-640,"Super Asia EH-640 Electric Geyser – 44 Liters | 2000W Fast Heating, Rust-Proof Tank & Energy Efficient Water Heater | Electric Geyser"
12986,simple,EH-650,"Super Asia EH-650 Electric Geyser – 52 Liters | 2000W Fast Heating, Rust-Proof Tank & Energy Efficient Water Heater | Electric Geyser"
12992,simple,EH-660,"Super Asia EH-660 Electric Geyser – 59 Liters | 2000W Fast Heating, Rust-Proof Tank & Energy Efficient Water Heater | Electric Geyser"
12995,simple,EH-670,"Super Asia EH-670 Electric Geyser – 65 Liters | 2000W Fast Heating, Rust-Proof Tank & Energy Efficient Water Heater | Electric Geyser"
12999,simple,SEH-11,"Super Asia SEH-11 Electric Water Heater – 11 Liters | Safe, Durable & Energy Efficient Electric Geyser | Electric Geyser"
13003,simple,SEH-16,"Super Asia SEH-16 Electric Water Heater – 16 Liters | Safe, Durable & Energy Efficient Electric Geyser | Electric Geyser"
13011,simple,NEG-30,Nasgas Electric Geyser NEG-30 – Best 30 Liter Energy Efficient Electric Water Heater for Home Use
13015,simple,NEG-40,Nasgas Electric Geyser NEG-40 – High Capacity 40 Liter Energy Efficient Electric Water Heater for Home Use
13018,simple,NEG-50,Nasgas Electric Geyser NEG-50 – Premium 50 Liter Energy Efficient Electric Water Heater for Home and Bathroom
13023,simple,NEG-60,Nasgas Electric Geyser NEG-60 – High Capacity 60 Liter Energy Efficient Electric Water Heater for Home and Bathroom
13026,simple,SEM-100,Nasgas Semi Instant Electric Geyser SEM-100 – 100 Liter High Capacity Fast Heating Energy Efficient Water Heater for Home and Bathroom
13031,simple,SEM-250,NasGas 25 Liter Semi Instant Electric Geyser SEM-250 – Fast Heating Energy Efficient Water Heater for Home Use
13034,simple,DG-55,Nasgas Gas Geyser DG-55 Super Dlx Auto – High Efficiency Automatic Gas Water Heater for Home and Bathroom
13037,simple,DG-09,Nasgas Instant Gas Geyser DG-09 Dlx (Executive) – Fast Heating High Efficiency Gas Water Heater for Home and Bathroom
13040,simple,DG-07,Nasgas Instant Gas Geyser DG-07 Dlx (Executive) – Fast Heating High Efficiency Gas Water Heater for Home and Bathroom
13043,simple,SEM-200,NasGas 20 Liter Semi-Instant Electric Geyser SEM-200 – Fast Heating Energy Efficient Water Heater for Home and Bathroom
13057,simple,NEG-80,"Nasgas Electric Geyser NEG-80 – Instant Heating, Energy Efficient Electric Water Heater"""
13080,simple,DEG-15,Nasgas E+G Geyser 15 Gallon (DEG-15) Super Deluxe – Electric + Gas Hybrid Water Heater
13091,simple,SEM-150,"Nasgas Semi Instant Electric Geyser SEM-150 – Fast Heating, Energy Efficient Water Heater"
13160,simple,DEG-35,"Nasgas Electric & Gas Geyser 35 Gallon (DEG-35) – Hybrid Water Heater, Energy Efficient & Fast Heating"
13167,simple,SEM-101,"NasGas 10 Liter Semi Instant Electric Geyser SEM-101 – Fast Heating, Compact & Energy Efficient Water Heater"
13174,simple,50 Gallon (10x10),Hotline 50 Gallon Water Heater Geyser (10x10) – Dual Electric + Gas High-Capacity Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13178,simple,30 Gallon-(14x14),Hotline 30 Gallon Water Heater Geyser (14x14) – Dual Electric + Gas High-Efficiency Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13182,simple,30 Gallon-(10x14),Hotline 30 Gallon Water Heater Geyser (10x14) – High-Capacity Electric + Gas Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13190,simple,20 Gallon-(14x16),Hotline 20 Gallon Water Heater Geyser (14x16) – Electric + Gas High-Efficiency Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13194,simple,30 Gallon-(10x10),Hotline 30 Gallon Water Heater Geyser (10x10) – Dual Electric + Gas High-Capacity Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13198,simple,15 Gallon-(14x16),Hotline 15 Gallon Water Heater Geyser (14x16) – Electric + Gas Compact Home Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
13202,simple,30 Gallon-(14x16),Hotline 30 Gallon Water Heater Geyser (14x16) – Dual Electric + Gas High-Capacity Geyser | Hotline Geyser | Gas + Electric Geyser | Geyser
